period	words	genre	title	citation	syntax	form
1870s	senang	prose texts	KSPL Yeh 22:14	.... utang darah yang di tengahmu. Adakah <phr>hatimu</phr> <w>senang</w>, adakah tanganmu cukup kuat pada hari yang Kusediakan bagimu ...	non-nominal	root
1870s	senang	prose texts	KSPL Dan 1:4	........ dan beradab dan berbudi dan bijaksana dan <w>senang</w> diajar, yang layak akan mengerjakan pekerjaan dalam istana .....	non-nominal	root
1870s	senang	prose texts	KSPL Dan 4:4	-temurun. Bahwa aku ini Nebukadnezar adalah <phr>dengan</phr> <w>senang</w> dalam rumahku, dengan selamat sentosa dalam istanaku. Maka .....	non-nominal	root
1870s	senang	prose texts	KSPL Mik 2:8	pada tubuh orang yang lalu dari pada jalan <phr>dengan</phr> <w>senang</w> <phr>hatinya</phr>, seperti kalau mereka itu kembali dari pada peperangan.	non-nominal	root
1880s	senang	prose texts	Pah 19:19	".. selagi ada umur Ahmad ini, sekali-kali tiada boleh <w>senang</w> Pahang; bersarang tupai ‹di› atas kepala."" Dan angin barat pun ."	non-nominal	root
1880s	senang	prose texts	Pah 24:17	. Perang, Panglima Dalam pun masuk kubu, dapat <phr>dengan</phr> <w>senang</w>. Orang-orang yang di dalam kubu itu lari. Lebih daripada dua ...	non-nominal	root
1880s	senang	prose texts	Pah 27:2	"...-orang di bawah, ""Singgah kita Datuk; <phr>berjalan kaki</phr> <w>senang</w>, kita sama-sama setanah."" Maka tiadalah dipakainya, mudik juga ."	non-nominal	root
1880s	senang	prose texts	Pah 55:7	.. Maka di dalam hal itu, Tok Kaya Tuit pun <phr>bangkitlah</phr> <w>senang</w> lenang memerintah, berlaku sekaliannya sebab anak-anak Haji ....	non-nominal	root
1880s	senang	prose texts	Mpt 3	. hati tuannya dan pandailah ia bermain-main yang <phr>memberi</phr> <w>senang</w> pada pikiran. Maka jikalau hati yang kusut dapatlah memberi ....	nominal	root
1880s	senang	prose texts	Mpt 5	...... delima dan zabib, anggur dan kurma, maka baharulah <w>senang</w> <phr>hatinya merak mas itu</phr> serta bersantap pada mulut Tuan Putri ....	non-nominal	root
1880s	senang	prose texts	Mpt 6	. dalam Kampung Kanca Wanis belon pernah sekali merasakan <w>senang</w> <phr>hati</phr>, semingkin hari hidup di dalam mudaratnya. Maka adalah ....	non-nominal	root
1880s	senang	prose texts	Mpt 37	. sembahnya, “ Ya Tuan Putri, adalah <phr>hati hamba</phr> belonkan <w>senang</w> dan belon bermaksud. Maka hati hamba pun berhajat jua, kalaukan	non-nominal	root
1880s	senang	prose texts	Mpt 68	. seperti manusia, jikalau patik belon mendapat belonlah <w>senang</w> rasanya <phr>hati patik</phr>, karena sangat birahi dan rindu dendam pada .	non-nominal	root
1880s	senang	prose texts	Mpt 68	.. itu.” Maka kata kedua orang tua, “Baiklah.” Baharulah <w>senang</w> <phr>hati</phr> kedua orang tua sebab sudah diberi kabar terlebih dahulu. .	non-nominal	root
1880s	senang	prose texts	Mpt 82	.. Merpati Perak merasakan tiga kali itu, maka baharulah <w>senang</w> <phr>hatinya</phr>, nyatalah masih ada hidup saudaranya itu, sigera .......	non-nominal	root
1880s	senang	prose texts	Mpt 142	......... kulit © mutiara pada pinggang maka masih ada, <w>senang</w> sekali <phr>hatinya</phr>. Setelah sudah bersiram pada kolam, maka ........	non-nominal	root
1880s	senang	prose texts	Mpt 145	.-<phr>sahabatnya Merpati Mas dan Merpati Perak pun</phr> rasa tak <w>senang</w> jikalau tiada ada Merpati kedua itu, setengahnya segala ........	non-nominal	root
1880s	senang	prose texts	Mpt 146	........ banyak ikan masuk pada jalanya, ditarik <phr>dengan</phr> <w>senang</w> <phr>hatinya itu</phr>. Demikian juga orang yang mencari harta itu, mau ...	non-nominal	root
1880s	senang	prose texts	Mpt 196	. makan dan minum memalu-malu bunyi-bunyian dan <phr>memberi</phr> <w>senang</w> hati dan pikiran, karena esok hari akan menghadap musuh. Pada ..	nominal	root
1880s	senang	prose texts	Mpt 201	... mati.” Maka bagai-bagailah katanya itu yang <phr>memberi</phr> <w>senang</w> <phr>di hati</phr>. Maka demikian juga segala rakyat yang lain-lain itu ...	nominal	root
1880s	senang	prose texts	Mpt 209	... baik mendapat kepujian yang baik juga <phr>dengan</phr> segala <w>senang</w> <phr>hati</phr>, dan segala puji yang jahat mendapat kesakitan hati bagi ..	non-nominal	root
1880s	senang	prose texts	Mpt 209	. sini dari hal Tuan Putri Sari Rasmi ada <phr>dengan</phr> segala <w>senang</w> <phr>hati</phr> dan diperbuat mana seperti anak sendiri, disambut dengan ..	non-nominal	root
1880s	senang	prose texts	Mpt 209	.... yang memberi menyenangkan hatinya dan yang <phr>memberi</phr> <w>senang</w> pikirannya. Tetapi jikalau paduka Raja hendak bertemukan paduka	nominal	root
1880s	senang	prose texts	Mpt 211	.. gemuruh suaranya, serta bunyian dipalu orang, <phr>dengan</phr> <w>senang</w> <phr>hati</phr> yang mendengar dan sukacita tiada ingat lagi dirinya buat .	non-nominal	root
1880s	senang	prose texts	Mpt 225	sudah jauh malam, maka beradulah masing-masing <phr>memberi</phr> <w>senang</w> badan nyawanya adanya. Kalakian maka setelah pagi-pagi hari ....	nominal	root
1880s	senang	prose texts	Mpt 240	, tanam temu berpohon muda , baik diingat <phr>pikiran yang</phr> <w>senang</w>, masih boleh bertemu ayahanda bunda | beli lada dari Marunda ,	non-nominal	root
1890s	senang	prose texts	Puras 29:10	yang diceriterakan hatinya itu ada masygul dan <phr>ada</phr> <w>senang</w>. Masygulnya itu pamannya belun kembali dari pertapaan dan ......	nominal	root
1890s	senang	prose texts	Puras 120:8	.. akan bertanya Kanjeng Ramanya, maka terlalu amat <w>senang</w> <phr>hatinya</phr>. Tetapi sungguh hatinya senang, bercampur sedih. Maka ..	non-nominal	root
1890s	senang	prose texts	Puras 120:8	....... amat senang hatinya. Tetapi sungguh <phr>hatinya</phr> <w>senang</w>, bercampur sedih. Maka menangislah tuan puteri melihat hal .....	non-nominal	root
1900s	senang	prose texts	CJen.B 53:20	bendang itu supaya menjadi lembut semuanya, boleh <w>senang</w> <phr>menanam padi</phr> lagi pula menyuburkan pokok padi sampai kepada ....	non-nominal	root
1910s	senang	prose texts	SKel 9:1	".... Sa´dung, isteri kamu itu sahaja. Jika <phr>kamu</phr> hendak <w>senang</w>, hantarlah isteri kamu itu turun."" Maka tatkala Sultan Abdullah"	non-nominal	root
1910s	senang	prose texts	SKel 24:29	"aku ke mana-mana, boleh aku tu[m]pang* orang supaya <w>senang</w> <phr>hatiku</phr> daripada boleh kepada Cina itu."" Maka sudah berfikir ...."	non-nominal	root
1910s	senang	prose texts	SKel 26:8	..... runsing hatinya dan susah dirinya; hendak <phr>duduk</phr> <w>senang</w> tidak boleh sebab banyaklah orang pergi haru kacau kepadanya. ..	non-nominal	root
1910s	senang	prose texts	SKel 27:24	".. tiada sihat tubuh ba(n)dan tuanku itu serta tiada <w>senang</w> <phr>fikiran tuanku itu</phr>."" Maka tatkala Raja Nang Cayang mendengar ..."	non-nominal	root
1910s	senang	prose texts	SKel 67:16	.. setengah. Maka tatkala selesai semuanya baharulah <w>senang</w> <phr>orang yang memegang pekerjaan negeri itu</phr>. Maka Raja Cahaya pun .	non-nominal	root
1910s	senang	prose texts	SKel 87:17	. tatkala sampailah raja itu selesai beraja-raja itu <w>sebang*</w> negeri itu berapa lamanya. Sebermula tersebut pula Maharaja ...	DFMA	root
1910s	senang	prose texts	SKel 89:15	". hari, Pia Rija Nucit dan Pia Kelantan <phr>duduk</phr> <phr>banyak</phr> <w>senang</w>, tiada apa-apa, dengan tuah ke bawah duli."" Maka titah, ""Kalau ."	nominal	root
1910s	senang	prose texts	SKel 92:9	"...... pilih yang mana berkenan, jawab baliklah, jadi <w>senang</w> <phr>boleh ikut</phr>."" Kemudian raja Kelantan menurut orang-orang ........"	non-nominal	root
1910s	senang	prose texts	SKel 93:2	........ dengan sempurnanya. Maka <phr>di dalam negeri</phr> pun <w>senang</w> hingga sampai kepada tahun 1302. Maka Sultan Pia Rija pun ......	non-nominal	root
1910s	senang	prose texts	SKel 94:35	". nasi. Lepas sembahyang kita mudik sampai ke rumah, <w>senang</w>, hingga bersimpan senang adanya. Itulah hemat perhamba."" Maka .."	non-nominal	root
1910s	senang	prose texts	SKel 94:36	".... mudik sampai ke rumah, senang, hingga <phr>bersimpan</phr> <w>senang</w> adanya. Itulah hemat perhamba."" Maka raja Kelantan berkenanlah ."	nominal	root
1910s	senang	prose texts	J&P 60:14	..-mudahan Allah subhanahu wa ta`ala <phr>anugerahkan</phr> aman <w>senang</w> sentosa sekalian negeri kita ini.” Kemudian Bendahara pula .....	nominal	root
1930s	senang	prose texts	KSPB Mat 11:30	"... mendapat sentosa bagi jiwamu. Karena kuk <phr>Aku</phr> <w>senang</w> rasanya, dan tanggungan Aku ringan adanya."" Pada masa itu juga ."	non-nominal	root
1930s	senang	prose texts	KSPB Kis 3:20	.... dihapuskan, dan supaya datang juga <phr>masa yang</phr> <w>senang</w> daripada hadirat Tuhan, dan Ia menyuruhkan Kristus Yesus yang ..	non-nominal	root
1930s	senang	prose texts	KSPB 1Ko 7:40	..... sahaja. Tetapi pada pemandanganku, <phr>ia</phr> lebih <w>senang</w> jikalau ia tinggal sebagaimana memang ada. Maka pada pikiranku,	non-nominal	root
1930s	senang	prose texts	KSPB 2Ko 2:13	.... terbuka bagiku di dalam Tuhan, maka tiadalah <w>senang</w> <phr>hatiku</phr>, sebab tiada berjumpa saudaraku Titus itu. Sebab itu ....	non-nominal	root
1930s	senang	prose texts	KSPB 2Ko 8:13	.... Karena bukannya supaya <phr>orang lain</phr> boleh jadi <w>senang</w>, dan kamu susah, melainkan sama berat. Pada masa ini kelebihan .	non-nominal	root
1930s	senang	prose texts	KSPB Fil 2:19	..... pergi kepadamu dengan segeranya, supaya aku <w>senang</w> <phr>hati</phr> apabila aku mendapat tahu akan segala hal ihwalmu. Karena .	non-nominal	root
1930s	senang	prose texts	KSPB 1Ti 6:6 .	besar labanya, jikalau disertai dengan <phr>hati yang</phr> <w>senang</w>; karena kita sudah membawa satu pun tidak ke dalam dunia ini, ..	non-nominal	root
1930s	senang	prose texts	KSPB 2Ti 4:2	... itu, hendaklah engkau bersedia, baik pada <phr>masa</phr> <w>senang</w> atau tiada senang; nyatakanlah salah orang, tegurkanlah, .......	non-nominal	root
1930s	senang	prose texts	KSPB 2Ti 4:2	engkau bersedia, baik pada <phr>masa</phr> senang atau tiada <w>senang</w>; nyatakanlah salah orang, tegurkanlah, nasehatkanlah dengan ....	non-nominal	root
1930s	senang	prose texts	KSPB Yak 5:13	. Hendaklah ia berdoa. Adakah barang seorang yang <w>senang</w> <phr>hati</phr>? Hendaklah ia menyanyikan Mazmur. Adakah barang seorang di	non-nominal	root
1950s	senang	prose texts	Sikka 12	...... kembali ke Solor. Sejak itu <phr>orang-orang Nasrani</phr> <w>senang</w> pula. Akan tetapi beberapa tahun kemudian datang pula orang ....	non-nominal	root
1950s	senang	prose texts	Sikka 29	.... Ia ini aku gelarkan Kokek (koko kek). Maka <phr>dengan</phr> <w>senang</w> dan terbuka <phr>hatinya</phr>, mereka menyembahkan peraturan Mo´ang Baga .	non-nominal	root
1950s	senang	prose texts	Sikka 32	.... mereka sekalian kekampungnya masing-masing <phr>dengan</phr> <w>senang</w> karena sudah mendapat suatu peraturan-peraturan dari satu orang	non-nominal	root
1950s	senang	prose texts	Sikka 57	...... gereja, maka orang Sikka pulanglah <phr>dengan</phr> tiada <w>senang</w> <phr>hati</phr> oleh karena kekalahan itu, ditengah perjalanannya .........	non-nominal	root
1950s	senang	prose texts	Sikka 87	dan lain-lain kejahatan. Oleh demikian itu <phr>mereka</phr> tak <w>senang</w> dengan keadilan Katholik dimana raja dan pastor Le Qoq .........	non-nominal	root
1950s	senang	prose texts	Sikka 97	.... kepala-kepala. Maka <phr>tuan pastor dan Zuster-zuster</phr> <w>senang</w> sekali. Sekarang jumlah murid ada lima puluh dihitung dengan ...	non-nominal	root
1950s	senang	prose texts	Sikka 106	.. dari Sikka pergi ke Léla supaya boleh tidur <phr>dengan</phr> <w>senang</w>, sebab rumah raja dengan rumah pastor berdekatan. Pada tanggal .	non-nominal	root
1950s	senang	prose texts	Sikka 110	.. Raja Larantuka ini, maka <phr>Raja Sikka</phr> makin lama tak <w>senang</w>. Pada 3-12-1895 Raja Sikka dan Posthouder Maumere dan ..........	non-nominal	root
1950s	senang	prose texts	Sikka 137	.... wakil pemerintah Belanda, supaya <phr>Kompani Belanda</phr> <w>senang</w> kepadanya. Nai katakan lagi: kasihan sekali yang ia tak dapat ..	non-nominal	root
1950s	senang	prose texts	Sikka 140	.. Raja Sikka. Tetapi <phr>orang Bugis</phr> dari Wai Paré tidak <w>senang</w> tentang pembunuhan atas Badolo dengan orang-orangnya; karena ...	non-nominal	root
1950s	senang	prose texts	Sikka 152	. Raja Larantuka sudah pulang kembali. Tentu <phr>ia</phr> sudah <w>senang</w> dengan perjalanannya ini, sebab hanya dengan gading tersebut ...	non-nominal	root
1950s	senang	prose texts	Sikka 158	... pada tanggal tujuh Mei 1898). Sebab <phr>Nong Méak</phr> tak <w>senang</w> dengan menjadi wakil buat sementara, maka dimintanya angkatan ..	non-nominal	root
1950s	senang	prose texts	Sikka 160	.. Roa yang sudah mulaikan peperangan ini sudah <phr>dapat</phr> <w>senang</w>, oleh karena cita cita yang lama menjadi raja sudah digenapkan .	nominal	root
1950s	senang	prose texts	Sikka 167	batu di kampung itu. Kata Posthouder: bagaimana <phr>raja</phr> <w>senang</w> dengan jawaban begitu? Tetapi wakil Raja Sikka berjanji akan ...	non-nominal	root
1950s	senang	prose texts	Sikka 168	..... ditolaknya permintaan itu. Sebab itu <phr>Teka</phr> tidak <w>senang</w> maka sekarang ia mulai kepala batu dan membujuk beberapa .......	non-nominal	root
1950s	senang	prose texts	Sikka 183	... tuan Residen lagi: kalau apa apa yang <phr>kamu</phr> kurang <w>senang</w>, harus menyatakan kepada Raja kamu atau kepada Pemerintah ......	non-nominal	root
1950s	senang	prose texts	Sikka 184	. dan lain lain. Orang dapat melihat padanya bahwa <phr>ia</phr> <w>senang</w> sekali dan diterangkannya juga kepada tuan Posthouder bahwa ....	non-nominal	root
1950s	senang	prose texts	Sikka 212	. sekalian masing masing ke kampung halamannya <phr>dengan</phr> <w>senang</w> <phr>hatinya</phr>. Datang Controleur Terbeschikking Kupang. Bernama ......	non-nominal	root
1950s	senang	prose texts	Sikka 255	...... sendiri. Tetapi <phr>pemerintah Belanda</phr> entah tidak <w>senang</w>, maka dipindahkannya bos opzichter itu ke Larantuka, sehingga ..	non-nominal	root
1950s	senang	prose texts	Sikka 256	...... segala pendapatan orang lain baik susah maupun <w>senang</w> diperhatikannya yang waktu bercakap cakap itu. Sifat tidak suka	nominal	root
1590s	senang	tracts&manuals	HF 5:13b	.., Barang yang mendapat dia menjadi khalīl ,Bi kullī shay´in muhīt inilah dalīl , Mengatakan lengkap rupa Rabbun jalīl | Jamīl itulah cahayanya terang , Pada kedua `ālam <phr>adanya</phr> <w>senang</w>, Barangsiapa sampai pada laut yang tenang , Dunyā ākhirat iyalah menang | Laut itulah yang bernama sedia , Tempatnya ghā´ib terlalu sunya , Sungguhpun Tuhan yang mahamulia .	nominal	root
1590s	senang	tracts&manuals	HF 47:23d	tiada menaruh suka , Sekalian mememandang memasamkan muka | Wahai miskīn untung yang malang , Tiada berguna kepada orang , Sudahlah nasīb dirundung malang , Tiada pernah <phr>berhati</phr> <w>senang</w>| Janganlah kita hendak ditolong , Barang katanya terdorong-dorong , Ke mana gerangan membawa untung , Tiada lagi tempat bergantung | Tatkala engkau belum demikian ,........	non-nominal	root
1590s	senang	tracts&manuals	HF 47:86b	.... tanda dagang piatu , Jikalau berjalan janganlah malu , Mencarikan nasīb untung badanmu , Allāh ta`ālā jua akan yang tahu | Wah nasīb untungmu dagang , Janganlah <phr>kamu</phr> terlalu <w>senang</w>, Minta´ cari jua budi dan tenggang , Niscaya jangan kamu terbuang | Itulah sakitnya orang berdagang , Minum dan makan tiadalah kenyang , Dikirai kan jua akan berutang ,...	non-nominal	root
1590s	senang	tracts&manuals	HF 47:90b	. yang tahu | Hai nasīb badanmu dagang , Cari juga tempat berpegang , Supaya jangan dilancung orang , harta habis badan terbuang | Wah nasīb orang berdagang , <phr>Tidur lelapmu</phr> tidak <w>senang</w>, Dikenal jua malam dan siang , Supaya lekas kembali pulang | Wah nasīb berdagang ini , Hari-sehari akan dibagi , Malam-semalam supaya dikati , Itulah `adhāb segala ummat ...	non-nominal	root
1910s	senang	tracts&manuals	Guna 22rm:3	".....| ""Bunga di taman di belah hulu , taman bernama banjaran sari ; sedap dan nyaman puki berbulu , tepi bibirnya berduri-duri. | Kekasih sayang kekasih cinta , <phr>di dalam dada</phr> <w>senang</w> sentosa ; pukiku miang gatal pun serta , di dalamnya ada seribu rasa."" |¶ Bermula inilah halimun yang maha besar dan janganlah dipakai akan dia sebarang-barang rupa, ......."	non-nominal	root
1910s	senang	tracts&manuals	Guna 27:2	.. dan jika terikat, nescaya terurai ikatannya, putus-putus dengan izin Allah ta`ala yang maha kuasa, dan kembalilah ia ke negerinya atau ke rumahnya <phr>dengan</phr> selamat sejahtera dan <w>senang</w> sentosanya. insya Allah ta`ala. Dan iaitu inilah do`anya yang amat mustajab: Bismillah al-Rahman al-Rahim. © Ya Huwa yaman Huwa lahhu asuma´an `azimun ... rahmatika ya .....	non-nominal	root
1730s	senang	letters&documents	Wrkh 8:2	.. dahulu-dahulu meminta seperti minta hamba itu karena di dalam hati hamba maka hamba berani meminta seperti itu biar kekal selama-lamanya* Kompeni memegangkan Anak Sungai supaya <w>senang</w> dan sentosya segala isi negeri yang ada di bawah perintah hamba. Dan lagi biar bertambah-tambah keras hati segala menteri dan peruatan mengerjakan perniagaan Kompeni seperti	non-nominal	root
1780s	senang	letters&documents	Gold 18:4	...... tersebut dalam surat sahifahnya akan perlayaran rakyat Palembang ke negeri Jawa dan dari negeri Jawa. Gurnur Jenderal dan Raden pan India akan pikir kira2 atasnya itu <phr>pada</phr> <w>senang</w> lain lalu akan memberi penjawabnya adanya. Sementara itu tiada syak dan waham melainkan hal pekerjaan dengan Kapitan Parkes* dan kesusahan beserta belanja dua oleh khadim2 ..	WIDLII	root
1790s	senang	letters&documents	WSumB 2:22 .	Tuan Gurnadur Jenderal suka dan rida akan mengangkat komandur dalam Nagari Padang, janganlah lama antaranya, meski siapa2 yang akan Tuan angkat, biarlah lekas supaya tetap dan <w>senang</w> <phr>hati</phr> kami sekalian yang tinggal di bawah perintah Kompeni dalam pesisir barat sekarang. Maka, dari antaranya itu adalah kami harap menanti2 titah dan wardi daripada Tuan ....	non-nominal	root
1790s	senang	letters&documents	WSumB 5:21	......... janganlah Tuan orang besar2 memberi Komandur itu pulang, jikalau ia meminta sekalipun biarlah Tuan suruh lama sedikit dianya tinggal serta kami di Negeri Padang supaya <w>senang</w> <phr>hati</phr> kami bersahabat dan ber[da]mai-damaian sertanya. Sekarang maka adalah dipersertakan dengan burhan al-wujud sezarah ini tuhfah haluan daripada hamba, Panglima, serta ....	non-nominal	root
1790s	senang	letters&documents	WBima L 4:7	.. Bugis Mengkasar orang berani niscaya menghendaki dengan yang keras. Maka perangai dan kelakuan orang Bima penakut niscaya menghendaki kepada yang lemah lembut, supaya <phr>dengan </phr> <w>senang</w> dijunjungnya pangkat pekerjaan Kompeni adanya. Karena maka demikian perkataan Raja Bima, maka berani jua dipersembahkan perkataan yang begitu kepada hadirat Yang Maha Mulia .	non-nominal	root
1790s	senang	letters&documents	WBima L 4:11	..... dengan Tuan Yang Maha Mulia dan sekalian Raden. Karena Raja Bima dengan sekalian rakyatnya di dalam berlindung dan naung di bawah perintah Kompeni jua, maka hidup <phr>dengan</phr> <w>senang</w> atas tanah negerinya dengan sekalian wazir al-menterinya, setia kepada sekalian rakyatnya adanya. Syahdan, adalah pada waktu sekarang Paduka Raja Bima ada persembahkan ke ...	non-nominal	root
1790s	senang	letters&documents	SRN 3:4	.... yang cakap membawanya kayu tiang yang besar itu, demikianlah adanya. Dan lagi pula seperti kehendak sahabat kita bahwa menegahkan orang jahat dan segala bajak itu supaya boleh <w>senang</w> segala <phr>orang yang berdagang</phr> di sana ke mari. Maka kita pun tegahlah ia seboleh-boleh atas sekuasa kita akan segala orang-orang yang di dalam perintah kita dan segala yang ...	non-nominal	root
1800s	senang	letters&documents	Banten 19:v21	..... dari apa maka saya orang minta´ mahu baikan Pangeran Muhyiddin menjadi sultan sebab saya orang kira-kira jika yang lain jadi sultan barangkali <phr>negeri Banten</phr> tiada boleh <w>senang</w> serta tetap bagaimana yang telah suda kumpeni juga yang jadi susah saya orang suda tahu asal daripada sultan tiada lainnya yang ibu suri rama ratu melainkan Pangeran ........	non-nominal	root
1800s	senang	letters&documents	PBanj 162:25	.. dan tiada boleh diharap jadi banyak kebun2 lada dan selamat dagang2 melainkan paduka Seri Sultan setia turut berjanji melakukan daya upaya sungguh2 hatta ambil aturan kerja <w>senang</w> <phr>rakyat2</phr> dengan sekalian perdamaian yang baik. Istimewah pula pekerjaan Dayak2 potong orang itu Paduka Seri Sultan boleh ambil pikiran yang* supaya jadi takut itu Dayak kerja	non-nominal	root
1800s	senang	letters&documents	Banten 27:11	..... lagi sahabat bersahabat yang amat qarib ... dengan kerajaan Banten. Syahdan ayahanda tuan Gurnadur Jenderal dan segala Raden van India mengaturkan kalau-kalau ada sampai <w>senang</w> di belakang hendak kasih tanda bingkisan adanya, maka ... sultan sangat suka dan menarima kasih yang tiada keputusan da´iman mu´abbadan jua adanya dan sebagai lagi, dalam ...	non-nominal	root
1810s	senang	letters&documents	Banten 28:2r4	.... habar yang betul aðanya tanya anaqða suða suruan dari anaqða punya orang-orang tuntut ði mana adanya Ahmad ðan Zaqarya seboleh-boleh anaqða cari juga dari ayahanða <phr>punya</phr> <w>senang</w> ðan ayahanða punya baik aðanya yang anaqða harap siang ðan malam melainkan ayahanða punya kasihan kepaða anaqða. Tammat al-kalam bil-khair, tersurat di kampung Panðe glang ..	nominal	root
1810s	senang	letters&documents	Wrkh 38:3	orang Holandis, boleh ia pikir di atas itu, karena apabila Inggeris datang ia mauk memulangkan seperti adat yang dahulu, boleh sekalian <phr>raja-raja di dalam tanah Jawa itu</phr> menjadi <w>senang</w>. Pasal yang ketiga. Boleh tahu segala raja-raja Jawa Kompeni Inggeris ada besar negeri yang di bawah perintahnya negeri yang besar-besar di tanah Hindustan, dari hal itu ....	non-nominal	root
1810s	senang	letters&documents	Wrkh 44:2	.... kita ini orang tuha yang daif [tiada] tiada berdaya dan upaya, maka kita lihat akan hal anak kita itu Tunku Pengiran, terlalu hancur hati kita, siang dan malam tiada <phr>merasai</phr> <w>senang</w>. Maka sangatlah kita harabkan kepada sahabat kita daripada bela pelihira di atas anak kita itu, dan serta kita sekalian mana suku anak kita itu. Adapun sekarang* ini ........	nominal	root
1810s	senang	letters&documents	Wrkh 54:2	lagi di dalam warkah sahabat beta itu kapal perang mau pergi melanggar tanah Jawa itu, beta pintak pada Tuhan seru sekalian alam biar dimenangkannya daripada seteru itu, su´paya <w>senang</w> <phr>segala orang yang miskin</phr> mencari jalan ke hadapannya. Syahadan lagi sahabat beta mengahendakkan sampan pukat itu pada musim wangkang datang ini, sudahlah pergi ke sana ke ...	non-nominal	root
1810s	senang	letters&documents	Wrkh 55:2	........ berselisih dengan dia, tiada suka beta menyakiti isi negeri, maka beta turut juga diperbuat kerajaan mana yang disuruh seperti kehendaknya. Maka itu pun tiada juga boleh <w>senang</w>, jadi sebab itu makin bertambah-tambah susah dan jahat pula hendak datang kepada beta dan bertambah-tambah berat maksudnya. Maka sekarang dipanggilnya pula beta suruh pergi .	non-nominal	root
1810s	senang	letters&documents	Wrkh 64:2	... pulang kembali kepada Holandah, iaitu ketika hal ehwal di Europah ada sudah yang boleh Holandah sanggub boleh dia terima daripada tangannya yang pegang sekarang. Tetapi boleh <w>senang</w> <phr>tuan Panembahan punya hati</phr> dari karena kupernement Holandah di Europah telah membuatkan suatu akti yang keterangan akan ditetapkan sekalian peraturan yang telah dikerjakan ..	non-nominal	root
1810s	senang	letters&documents	Wrkh 64:3	... kejalanan yang tiada baikan sukar sakit pada orang kecil melainkan lambas saja lagi tulus dan adil, serta sebab itu negeri sudah jadi baik dan <phr>anak negeri</phr> semuanya jadi lebih <w>senang</w>. Maka dari itu tak dapat tiada ini sekarang kita mengatakan kepada tuan Panembahan yang kupernement Inggeris ada habis suka dengan sempurna tiada tambahi lagi melainkan kita	non-nominal	root
1810s	senang	letters&documents	PBanj 199:17	.... kasih dia punya serdadu permelawan sama orang yang mau ganggu jahat sama tuan Sultan atau sama dia punya anak2 atau sama dia punya negeri biar <phr>tuan Sultan</phr> selamanya <phr>duduk</phr> <w>senang</w>. Perkara empat. Geburmin lagi janji piara2 kora2 dengan lain kapal2 keci perjaga di muka kali2 kust2* rantauan Borneo tuan Sultan lagi janji nanti tolong sama dia punya .....	non-nominal	root
1810s	senang	letters&documents	Farq 18:10	...... sahabat kita itu. Maka kita pun jadi masyghul juga mendengarnya yang demikian itu. Akan tetapi bersama-sama juga kita minta kepada Tuhan <phr>yang susah itu</phr> mudah-mudahan jadi <w>senang</w>. Syahadan seperti hajat sahabat kita hendak berjumpa dengan kita itu sekali, sepuluh kali kita suka menerimanya. Dan hendak pun kita menyuruh dan mengutus, tiadalah boleh ...	non-nominal	root
1810s	senang	letters&documents	Farq 22:19	. daripada jual belinya maka iapun kita segerakan belayar pulang ke negeri Terengganu. Syahadan akan hal sangatlah suka hendak bertemu dengan sahabat kita akan tetapi belum lagi <w>senang</w>. Insya-Allah Taala di belakang surat ini adalah kita masuk ke Terengganu bertemu dengan sahabat kita. Kemudian daripada itu suatu pun tiada apa tanda ikhlas daripada kita, ..	non-nominal	root
1810s	senang	letters&documents	Farq 33:15	akan sahabat kita selagi ada umur kita dalam dunia ini. Syahadan daripada itu akan hal kita beberapa kali sudah berkirim surat kepada sahabat kita maka kita belum lagi <phr>mendapat</phr> <w>senang</w> kerana banyak kerja. Adalah kepada lima likur hari bulan Zulkaedah sudah kita kira-kira hendak belayar bertemu sahabat kita maka datang pula kapal kompeni dari Benggala, ....	nominal	root
1810s	senang	letters&documents	Farq 35:37	... kita sangatlah hajat hendak berjumpa dengan sahabat kita barang satu jam pun syukurlah. Hendak pun kita datang ke Pahang mendapatkan sahabat kita belum lagi dapat <phr>waktu yang</phr> <w>senang</w>, melainkan jika ada lagi umur kita dengan umur sahabat kita kemudian-kemudian kita datang juga bertemu dengan sahabat kita. Syahadan daripada itu suatu pun tiada apa yang ...	non-nominal	root
1820s	senang	letters&documents	SRN 29:5	.. apalagi yang tiadalah menjadi kesusahan Tuan Besar. Maka dari hal itu melainkan belas kasihannya Tuan Besar yang sahaya harap-harap siang dan malam akan supaya boleh sahaya <phr>ada</phr> <w>senang</w> serta boleh kelihatan belas kasihan Tuan Besar kepada sahaya adanya. Kemudian daripada tulus ikhlas serta dengan putih hati lagi suci hening, adalah istri sahaya Ratu Ayunan	nominal	root
1820s	senang	letters&documents	SITS 308:3	... perintah kita itu lalulah kita turun dengan Tuan Residen, mendapatkan tuan Kornel Lukas ke dalam keci perang maka selang sehari berlayarlah tuan Kornel ke Malaka sebab sudah <w>senang</w> <phr>Bugis2</phr> itu mengaku dalam suratnya serta capnya dianya tidaklah membuat rusuh2 sekali2 adanya maka tiba2 selang tidak berapa harinya Bugis2 serta orang Belawah kepalanya .....	non-nominal	root
